,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC,^DJI,^GSPC
Date,,,,,,,,,,,,
2017-04-10,20658.01953125,2357.159912109375,20658.01953125,2357.159912109375,20750.330078125,2366.3701171875,20614.859375,2351.5,20668.220703125,2357.159912109375,230480000,2792570000
2017-04-11,20651.30078125,2353.780029296875,20651.30078125,2353.780029296875,20660.029296875,2355.219970703125,20512.560546875,2337.25,20644.3203125,2353.919921875,255120000,3120900000
2017-04-12,20591.859375,2344.929931640625,20591.859375,2344.929931640625,20642.5390625,2352.719970703125,20553.029296875,2341.179931640625,20637.94921875,2352.14990234375,267670000,3201300000
2017-04-13,20453.25,2328.949951171875,20453.25,2328.949951171875,20612.26953125,2348.260009765625,20453.25,2328.949951171875,20561.689453125,2341.97998046875,235810000,3146380000
2017-04-17,20636.919921875,2349.010009765625,20636.919921875,2349.010009765625,20644.41015625,2349.139892578125,20484.75,2332.510009765625,20484.75,2332.6201171875,229240000,2826890000
2017-04-18,20523.279296875,2342.18994140625,20523.279296875,2342.18994140625,20600.119140625,2348.35009765625,20462.279296875,2334.5400390625,20561.390625,2342.530029296875,263180000,3272210000
2017-04-19,20404.490234375,2338.169921875,20404.490234375,2338.169921875,20546.689453125,2352.6298828125,20379.55078125,2335.050048828125,20503.51953125,2346.7900390625,294790000,3521160000
2017-04-20,20578.7109375,2355.840087890625,20578.7109375,2355.840087890625,20629.779296875,2361.3701171875,20406.6796875,2340.909912109375,20406.6796875,2342.68994140625,312440000,3648990000
2017-04-21,20547.759765625,2348.68994140625,20547.759765625,2348.68994140625,20601.400390625,2356.179931640625,20505.330078125,2344.510009765625,20578.099609375,2354.739990234375,369600000,3524160000
2017-04-24,20763.890625,2374.14990234375,20763.890625,2374.14990234375,20792.19921875,2376.97998046875,20723.58984375,2369.18994140625,20723.58984375,2370.330078125,342400000,3711170000
2017-04-25,20996.119140625,2388.610107421875,20996.119140625,2388.610107421875,21026.970703125,2392.47998046875,20909.380859375,2381.14990234375,20915.509765625,2381.510009765625,348180000,4005820000
2017-04-26,20975.08984375,2387.449951171875,20975.08984375,2387.449951171875,21070.900390625,2398.159912109375,20972.26953125,2386.780029296875,21009.94921875,2388.97998046875,328550000,4111350000
2017-04-27,20981.330078125,2388.77001953125,20981.330078125,2388.77001953125,21005.80078125,2392.10009765625,20935.80078125,2382.679931640625,20991.119140625,2389.699951171875,305690000,4099940000
2017-04-28,20940.509765625,2384.199951171875,20940.509765625,2384.199951171875,20987.759765625,2393.679931640625,20926.75,2382.360107421875,20987.390625,2393.679931640625,329990000,3721350000
2017-05-01,20913.4609375,2388.330078125,20913.4609375,2388.330078125,20976.619140625,2394.489990234375,20898.380859375,2384.830078125,20962.73046875,2388.5,288160000,3201500000
2017-05-02,20949.890625,2391.169921875,20949.890625,2391.169921875,20960.919921875,2392.929931640625,20904.060546875,2385.820068359375,20941.189453125,2391.050048828125,338810000,3861360000
2017-05-03,20957.900390625,2388.1298828125,20957.900390625,2388.1298828125,20972.740234375,2389.820068359375,20874.1796875,2379.75,20915.0,2386.5,310920000,3896760000
2017-05-04,20951.470703125,2389.52001953125,20951.470703125,2389.52001953125,20990.7890625,2391.429931640625,20847.94921875,2380.35009765625,20987.830078125,2389.7900390625,274720000,4367860000
2017-05-05,21006.939453125,2399.2900390625,21006.939453125,2399.2900390625,21006.939453125,2399.2900390625,20905.0,2389.3798828125,20929.0390625,2392.3701171875,260960000,3543240000
2017-05-08,21012.279296875,2399.3798828125,21012.279296875,2399.3798828125,21017.890625,2401.360107421875,20971.05078125,2393.919921875,20991.259765625,2399.93994140625,276150000,3429990000
2017-05-09,20975.779296875,2396.919921875,20975.779296875,2396.919921875,21046.849609375,2403.8701171875,20938.0390625,2392.43994140625,21022.279296875,2401.580078125,273000000,3657840000
2017-05-10,20943.109375,2399.6298828125,20943.109375,2399.6298828125,20976.279296875,2399.739990234375,20884.150390625,2392.7900390625,20958.490234375,2396.7900390625,283340000,3649370000
2017-05-11,20919.419921875,2394.43994140625,20919.419921875,2394.43994140625,20933.359375,2395.719970703125,20798.900390625,2381.739990234375,20925.720703125,2394.840087890625,287680000,3727710000
2017-05-12,20896.609375,2390.89990234375,20896.609375,2390.89990234375,20916.099609375,2392.43994140625,20869.740234375,2387.18994140625,20893.189453125,2392.43994140625,288500000,3304620000
2017-05-15,20981.939453125,2402.320068359375,20981.939453125,2402.320068359375,21000.830078125,2404.050048828125,20923.630859375,2393.93994140625,20923.630859375,2393.97998046875,313170000,3490080000
2017-05-16,20979.75,2400.669921875,20979.75,2400.669921875,21033.529296875,2405.77001953125,20932.880859375,2396.050048828125,20984.48046875,2404.550048828125,311580000,3421810000
2017-05-17,20606.9296875,2357.030029296875,20606.9296875,2357.030029296875,20846.169921875,2384.8701171875,20601.080078125,2356.2099609375,20846.169921875,2382.949951171875,423200000,4164760000
2017-05-18,20663.01953125,2365.719970703125,20663.01953125,2365.719970703125,20759.19921875,2375.739990234375,20553.44921875,2352.719970703125,20579.650390625,2354.68994140625,422590000,4319440000
2017-05-19,20804.83984375,2381.72998046875,20804.83984375,2381.72998046875,20857.130859375,2389.06005859375,20687.939453125,2370.429931640625,20698.279296875,2371.3701171875,365180000,3831700000
2017-05-22,20894.830078125,2394.02001953125,20894.830078125,2394.02001953125,20914.259765625,2395.4599609375,20860.16015625,2386.919921875,20867.76953125,2387.2099609375,276120000,3176580000
2017-05-23,20937.91015625,2398.419921875,20937.91015625,2398.419921875,20961.140625,2400.85009765625,20896.220703125,2393.8798828125,20908.669921875,2397.0400390625,244950000,3216560000
2017-05-24,21012.419921875,2404.389892578125,21012.419921875,2404.389892578125,21022.8203125,2405.580078125,20933.580078125,2397.989990234375,20949.2109375,2401.409912109375,283180000,3389240000
2017-05-25,21082.94921875,2415.070068359375,21082.94921875,2415.070068359375,21112.3203125,2418.7099609375,21051.41015625,2408.010009765625,21062.9609375,2409.5400390625,268970000,3538210000
2017-05-26,21080.279296875,2415.820068359375,21080.279296875,2415.820068359375,21092.8203125,2416.679931640625,21050.490234375,2412.199951171875,21070.150390625,2414.5,208000000,2806930000
2017-05-30,21029.470703125,2412.909912109375,21029.470703125,2412.909912109375,21063.619140625,2415.260009765625,21009.599609375,2409.429931640625,21045.490234375,2411.669921875,242810000,3205860000
2017-05-31,21008.650390625,2411.800048828125,21008.650390625,2411.800048828125,21051.69921875,2415.989990234375,20942.5703125,2403.590087890625,21048.4609375,2415.6298828125,371580000,4518040000
2017-06-01,21144.1796875,2430.06005859375,21144.1796875,2430.06005859375,21144.1796875,2430.06005859375,20994.220703125,2413.5400390625,21030.55078125,2415.64990234375,276730000,3860620000
2017-06-02,21206.2890625,2439.070068359375,21206.2890625,2439.070068359375,21225.0390625,2440.22998046875,21129.560546875,2427.7099609375,21142.08984375,2431.280029296875,329700000,3465500000
2017-06-05,21184.0390625,2436.10009765625,21184.0390625,2436.10009765625,21224.41015625,2439.550048828125,21168.689453125,2434.320068359375,21195.029296875,2437.830078125,269790000,2916720000
2017-06-06,21136.23046875,2429.330078125,21136.23046875,2429.330078125,21180.470703125,2436.2099609375,21118.4609375,2428.1201171875,21145.48046875,2431.919921875,283550000,3376750000
2017-06-07,21173.689453125,2433.139892578125,21173.689453125,2433.139892578125,21189.83984375,2435.280029296875,21113.310546875,2424.75,21171.5703125,2432.030029296875,273400000,3576220000
2017-06-08,21182.529296875,2433.7900390625,21182.529296875,2433.7900390625,21265.689453125,2439.27001953125,21138.16015625,2427.93994140625,21169.759765625,2434.27001953125,330330000,3735980000
2017-06-09,21271.970703125,2431.77001953125,21271.970703125,2431.77001953125,21305.349609375,2446.199951171875,21159.44921875,2415.699951171875,21208.9609375,2436.389892578125,397200000,4029860000
2017-06-12,21235.669921875,2429.389892578125,21235.669921875,2429.389892578125,21277.080078125,2430.3798828125,21186.150390625,2419.969970703125,21259.94921875,2425.8798828125,528080000,4031840000
2017-06-13,21328.470703125,2440.35009765625,21328.470703125,2440.35009765625,21332.76953125,2441.489990234375,21256.830078125,2431.280029296875,21256.830078125,2434.14990234375,323510000,3278240000
2017-06-14,21374.560546875,2437.919921875,21374.560546875,2437.919921875,21391.970703125,2443.75,21294.08984375,2428.340087890625,21342.7109375,2443.75,295090000,3558640000
2017-06-15,21359.900390625,2432.4599609375,21359.900390625,2432.4599609375,21367.279296875,2433.949951171875,21261.869140625,2418.530029296875,21291.689453125,2424.139892578125,317200000,3371980000
2017-06-16,21384.279296875,2433.14990234375,21384.279296875,2433.14990234375,21384.419921875,2433.14990234375,21308.009765625,2422.8798828125,21335.9296875,2431.239990234375,603260000,5299380000
2017-06-19,21528.990234375,2453.4599609375,21528.990234375,2453.4599609375,21528.990234375,2453.820068359375,21436.080078125,2441.7900390625,21444.75,2442.550048828125,289400000,3271480000
2017-06-20,21467.140625,2437.030029296875,21467.140625,2437.030029296875,21535.029296875,2450.659912109375,21464.240234375,2436.60009765625,21521.25,2450.659912109375,310200000,3422700000
2017-06-21,21410.029296875,2435.610107421875,21410.029296875,2435.610107421875,21492.619140625,2442.22998046875,21390.0,2430.739990234375,21466.390625,2439.31005859375,292500000,3599190000
2017-06-22,21397.2890625,2434.5,21397.2890625,2434.5,21456.470703125,2441.6201171875,21394.810546875,2433.27001953125,21407.98046875,2437.39990234375,270680000,3477250000
2017-06-23,21394.759765625,2438.300048828125,21394.759765625,2438.300048828125,21421.7890625,2441.39990234375,21333.890625,2431.110107421875,21380.919921875,2434.64990234375,368400000,5282460000
2017-06-26,21409.55078125,2439.070068359375,21409.55078125,2439.070068359375,21506.2109375,2450.419921875,21381.25,2437.030029296875,21434.6796875,2443.320068359375,241880000,3243660000
2017-06-27,21310.66015625,2419.3798828125,21310.66015625,2419.3798828125,21440.599609375,2440.14990234375,21310.66015625,2419.3798828125,21411.189453125,2436.340087890625,292170000,3564770000
2017-06-28,21454.609375,2440.68994140625,21454.609375,2440.68994140625,21478.75,2442.969970703125,21372.359375,2428.02001953125,21372.359375,2428.699951171875,271510000,3479980000
2017-06-29,21287.029296875,2419.699951171875,21287.029296875,2419.699951171875,21487.380859375,2442.72998046875,21197.080078125,2405.699951171875,21487.380859375,2442.3798828125,336750000,3869560000
2017-06-30,21349.630859375,2423.409912109375,21349.630859375,2423.409912109375,21426.119140625,2432.7099609375,21325.080078125,2421.64990234375,21348.599609375,2429.199951171875,313260000,3366030000
2017-07-03,21479.26953125,2429.010009765625,21479.26953125,2429.010009765625,21562.75,2439.169921875,21391.7109375,2428.68994140625,21392.30078125,2431.389892578125,186810000,1901480000
2017-07-05,21478.169921875,2432.5400390625,21478.169921875,2432.5400390625,21505.359375,2434.89990234375,21404.759765625,2422.050048828125,21492.830078125,2430.780029296875,273690000,3368150000
2017-07-06,21320.0390625,2409.75,21320.0390625,2409.75,21433.099609375,2424.280029296875,21305.380859375,2407.699951171875,21423.9296875,2423.43994140625,320450000,3368710000
2017-07-07,21414.33984375,2425.179931640625,21414.33984375,2425.179931640625,21425.8203125,2426.919921875,21350.720703125,2413.52001953125,21354.66015625,2413.52001953125,242240000,2929390000
2017-07-10,21408.51953125,2427.429931640625,21408.51953125,2427.429931640625,21446.390625,2432.0,21371.109375,2422.27001953125,21381.23046875,2424.510009765625,270340000,3009880000
2017-07-11,21409.0703125,2425.530029296875,21409.0703125,2425.530029296875,21441.619140625,2429.300048828125,21279.30078125,2412.7900390625,21410.169921875,2427.35009765625,247570000,3108800000
