,idDate,wind,temperature_mean
708,2012/08/19,8.0,28.0
709,2010/05/04,20.0,12.0
710,2010/05/02,6.0,17.0
711,2010/05/01,3.0,18.0
712,2012/08/10,6.0,26.0
713,2012/08/11,3.0,82.0
714,2012/08/12,8.0,26.0
715,2012/08/13,15.0,26.0
716,2012/08/14,6.0,24.0
717,2012/08/15,7.0,25.0
718,2012/08/16,9.0,26.0
719,2010/05/09,6.0,17.0
720,2006/08/15,9.0,25.0
721,2015/02/06,3.0,3.0
722,2015/02/07,2.0,5.0
723,2015/02/04,11.0,7.0
724,2015/02/05,9.0,6.0
725,2015/02/02,18.0,11.0
726,2015/02/03,20.0,10.0
727,2015/02/01,28.0,10.0
728,2008/06/15,6.0,20.0
729,2015/02/08,5.0,6.0
730,2015/02/09,9.0,6.0
731,2015/07/12,6.0,25.0
732,2015/07/13,6.0,26.0
733,2015/07/10,8.0,25.0
734,2015/07/11,7.0,26.0
735,2015/07/16,7.0,26.0
736,2015/07/17,7.0,26.0
737,2015/07/14,7.0,26.0
738,2015/07/15,6.0,26.0
739,2015/07/18,7.0,28.0
740,2015/07/19,7.0,26.0
741,2010/06/19,9.0,20.0
742,2006/09/17,11.0,22.0
743,2013/11/01,3.0,16.0
744,2013/11/02,5.0,17.0
745,2013/11/03,5.0,19.0
746,2013/11/04,13.0,17.0
747,2013/11/05,23.0,22.0
748,2013/11/06,14.0,21.0
749,2013/11/07,3.0,18.0
750,2013/11/08,7.0,18.0
751,2013/11/09,5.0,16.0
752,2015/05/13,5.0,19.0
753,2010/05/08,6.0,16.0
754,2015/06/19,11.0,22.0
755,2015/06/18,8.0,21.0
756,2010/07/11,7.0,26.0
757,2010/07/10,11.0,27.0
758,2010/07/17,9.0,26.0
759,2010/07/15,7.0,26.0
760,2010/07/14,6.0,25.0
761,2015/06/11,16.0,26.0
762,2015/06/10,9.0,25.0
763,2015/06/13,8.0,22.0
764,2013/03/31,14.0,16.0
765,2015/06/15,10.0,20.0
766,2015/06/14,15.0,23.0
767,2015/06/17,6.0,21.0
768,2015/06/16,7.0,21.0
769,2009/12/13,16.0,9.0
770,2009/12/12,7.0,10.0
771,2009/12/10,2.0,12.0
772,2009/12/19,8.0,4.0
773,2008/11/30,22.0,10.0
774,2011/01/11,7.0,11.0
775,2011/01/12,8.0,11.0
776,2011/01/13,4.0,10.0
777,2011/01/14,2.0,11.0
778,2011/01/15,7.0,12.0
779,2011/01/16,1.0,12.0
780,2011/01/17,3.0,10.0
781,2011/01/19,5.0,10.0
782,2013/12/29,5.0,8.0
783,2013/12/28,11.0,12.0
784,2013/12/23,4.0,10.0
785,2013/12/22,3.0,13.0
786,2013/12/21,11.0,14.0
787,2013/12/20,19.0,12.0
788,2013/12/27,15.0,14.0
789,2013/12/26,25.0,13.0
790,2013/12/25,31.0,14.0
791,2013/12/24,22.0,15.0
792,2009/04/15,9.0,12.0
793,2007/07/27,7.0,25.0
794,2010/04/17,4.0,14.0
795,2007/07/28,7.0,26.0
796,2010/08/12,7.0,26.0
797,2014/10/04,4.0,20.0
798,2014/10/05,3.0,20.0
799,2014/10/06,5.0,22.0
800,2014/10/07,6.0,22.0
801,2014/10/01,10.0,22.0
802,2014/10/02,8.0,22.0
803,2014/10/03,6.0,21.0
804,2014/12/06,7.0,10.0
805,2014/12/07,6.0,8.0
806,2014/12/04,7.0,12.0
807,2014/12/05,9.0,12.0
808,2014/10/08,4.0,21.0
809,2014/10/09,4.0,22.0
810,2014/12/01,9.0,14.0
811,2011/02/11,3.0,10.0
812,2011/02/10,3.0,10.0
813,2011/02/13,4.0,9.0
814,2011/02/12,4.0,10.0
815,2011/02/14,10.0,12.0
816,2011/02/17,19.0,12.0
817,2011/02/16,16.0,12.0
818,2011/02/19,5.0,9.0
